,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
81,All + Clusters*Voting orthogonal large,Voting orthogonal large,All + Clusters,0.8818129661503156,0.7195081298737527,0.7647058823529412,0.9523809523809523,0.6265060240963856,0.37747848858959976
82,All + Text*Voting orthogonal large,Voting orthogonal large,All + Text,0.8772231784279977,0.7028105800976838,0.776978417266187,0.9047619047619048,0.6506024096385542,0.36269628494829576
83,ATC_Level_1_description*ExtraTreesClassifier,ExtraTreesClassifier,ATC_Level_1_description,0.6790017211703959,0.3502429573886402,0.6153846153846153,0.6666666666666666,0.4819277108433735,0.09059111577474632
84,ATC_Level_2_description*ExtraTreesClassifier,ExtraTreesClassifier,ATC_Level_2_description,0.7733792312105565,0.4286915997543259,0.7919463087248322,0.6666666666666666,0.7108433734939759,0.2898678414096916
85,ATC_Level_3_description*ExtraTreesClassifier,ExtraTreesClassifier,ATC_Level_3_description,0.7475616752725185,0.3690617334320605,0.8157894736842105,0.6666666666666666,0.7469879518072289,0.3311897106109324
86,ATC_Level_4_description*ExtraTreesClassifier,ExtraTreesClassifier,ATC_Level_4_description,0.5998278829604131,0.363934696024906,0.5084745762711865,0.7619047619047619,0.3614457831325301,0.06654286598576298
87,ATC_Level_5*ExtraTreesClassifier,ExtraTreesClassifier,ATC_Level_5,0.5628227194492254,0.33297368226287427,0.5873015873015873,0.7142857142857143,0.4457831325301205,0.09353000335232986
88,Associated_condition*ExtraTreesClassifier,ExtraTreesClassifier,Associated_condition,0.6004016064257027,0.25084805149284595,0.6666666666666666,0.6666666666666666,0.5421686746987951,0.13461538461538458
89,Carrier*ExtraTreesClassifier,ExtraTreesClassifier,Carrier,0.7352266207687894,0.4086577830715402,0.06976744186046512,1.0,0.03614457831325301,0.014918304522850923
90,Category*ExtraTreesClassifier,ExtraTreesClassifier,Category,0.8958691910499139,0.7245438982397305,0.7647058823529412,0.9523809523809523,0.6265060240963856,0.3420101229211858
91,Enzyme*ExtraTreesClassifier,ExtraTreesClassifier,Enzyme,0.6506024096385542,0.30316590113920405,0.7092198581560283,0.6190476190476191,0.6024096385542169,0.1333333333333333
92,Group*ExtraTreesClassifier,ExtraTreesClassifier,Group,0.389271371199082,0.17520378591844754,0.1111111111111111,0.9047619047619048,0.060240963855421686,-0.004770992366412319
93,Target*ExtraTreesClassifier,ExtraTreesClassifier,Target,0.6827309236947792,0.3347173186474467,0.6461538461538462,0.7619047619047619,0.5060240963855421,0.1633438265127667
