,Name,Model,Modalities,AUC,AUPR,F1-score,Sensitivity,Specificity,Kappa
61,All + Text*Orthogonal small + KNeighborsClassifier,Orthogonal small + KNeighborsClassifier,All + Text,0.7656339644291451,0.4308285253544125,0.5950413223140496,0.9047619047619048,0.43373493975903615,0.1712499999999999
62,Clusters*KNeighborsClassifier,KNeighborsClassifier,Clusters,0.7392426850258175,0.36288944030879516,0.6229508196721312,0.9523809523809523,0.4578313253012048,0.2301255230125523
63,Text*KNeighborsClassifier,KNeighborsClassifier,Text,0.7013769363166953,0.3162747674147462,0.5423728813559322,0.8571428571428571,0.3855421686746988,0.13091922005571033
64,Greedy selection*MultinomialNB,MultinomialNB,Greedy selection,0.8175559380378656,0.49944672543306223,0.39999999999999997,0.9523809523809523,0.25301204819277107,0.0985140341221794
65,All*MultinomialNB,MultinomialNB,All,0.8152610441767069,0.5174251173552165,0.6178861788617885,0.9047619047619048,0.4578313253012048,0.19665271966527198
66,All*Voting + MultinomialNB,Voting + MultinomialNB,All,0.8296041308089501,0.6350363174233951,0.5,0.9523809523809523,0.3373493975903614,0.13308421960333439
67,All*Orthogonal small + MultinomialNB,Orthogonal small + MultinomialNB,All,0.8313253012048193,0.5984769555494072,0.6771653543307087,0.9523809523809523,0.5180722891566265,0.26785115655380487
68,Domain expert*MultinomialNB,MultinomialNB,Domain expert,0.8273092369477911,0.5201753326449483,0.5714285714285714,0.9047619047619048,0.40963855421686746,0.14728211357424847
69,Domain expert*Voting + MultinomialNB,Voting + MultinomialNB,Domain expert,0.8221457257601835,0.6612334922034548,0.6507936507936507,0.9047619047619048,0.4939759036144578,0.2144499178981938
70,Domain expert*Orthogonal small + MultinomialNB,Orthogonal small + MultinomialNB,Domain expert,0.8221457257601836,0.5399595422630779,0.6821705426356589,0.9047619047619048,0.5301204819277109,0.25231085244779183
71,All + Clusters*MultinomialNB,MultinomialNB,All + Clusters,0.810671256454389,0.48944301252999267,0.6923076923076923,0.9047619047619048,0.5421686746987951,0.2724728926197971
72,All + Clusters*Voting + MultinomialNB,Voting + MultinomialNB,All + Clusters,0.8387837062535858,0.6431520193240672,0.576271186440678,0.9523809523809523,0.40963855421686746,0.1708784596871239
73,All + Clusters*Orthogonal small + MultinomialNB,Orthogonal small + MultinomialNB,All + Clusters,0.82960413080895,0.5389917892215361,0.7313432835820897,0.9047619047619048,0.5903614457831325,0.3155393053016452
74,All + Text*MultinomialNB,MultinomialNB,All + Text,0.7865748709122203,0.5050577491045516,0.7205882352941178,0.8095238095238095,0.5903614457831325,0.23948811700182804
75,All + Text*Voting + MultinomialNB,Voting + MultinomialNB,All + Text,0.8387837062535858,0.6397675225764188,0.5882352941176471,0.9523809523809523,0.42168674698795183,0.1708784596871239
76,All + Text*Orthogonal small + MultinomialNB,Orthogonal small + MultinomialNB,All + Text,0.8250143430866321,0.5601371800054595,0.762589928057554,0.8571428571428571,0.6385542168674698,0.33488372093023255
77,Clusters*MultinomialNB,MultinomialNB,Clusters,0.8623063683304647,0.6468804538272654,0.8000000000000002,0.8095238095238095,0.6987951807228916,0.3700918964076858
78,Text*MultinomialNB,MultinomialNB,Text,0.8187033849684453,0.5478161125547573,0.8187919463087249,0.7619047619047619,0.7349397590361446,0.3814977973568282
79,All*Voting orthogonal large,Voting orthogonal large,All,0.8571428571428571,0.6349811396193676,0.7121212121212123,0.9047619047619048,0.5662650602409639,0.2935287808366106
80,Domain expert*Voting orthogonal large,Voting orthogonal large,Domain expert,0.8588640275387263,0.65199692073085,0.75,0.9047619047619048,0.6144578313253012,0.32692307692307687
81,All + Clusters*Voting orthogonal large,Voting orthogonal large,All + Clusters,0.8732071141709696,0.6594840490190645,0.7591240875912408,0.9047619047619048,0.6265060240963856,0.35049205147615436
82,All + Text*Voting orthogonal large,Voting orthogonal large,All + Text,0.8582903040734365,0.624945708350358,0.7943262411347517,0.9047619047619048,0.6746987951807228,0.36269628494829576
83,ATC_Level_1_description*ExtraTreesClassifier,ExtraTreesClassifier,ATC_Level_1_description,0.6752725186460127,0.35252303896745263,0.6153846153846153,0.6666666666666666,0.4819277108433735,0.09059111577474632
84,ATC_Level_2_description*ExtraTreesClassifier,ExtraTreesClassifier,ATC_Level_2_description,0.7816982214572576,0.4511342113847001,0.7972972972972974,0.7142857142857143,0.7108433734939759,0.3087478559176673
85,ATC_Level_3_description*ExtraTreesClassifier,ExtraTreesClassifier,ATC_Level_3_description,0.7355134825014343,0.3681762929616018,0.8157894736842105,0.6666666666666666,0.7469879518072289,0.3311897106109324
86,ATC_Level_4_description*ExtraTreesClassifier,ExtraTreesClassifier,ATC_Level_4_description,0.5625358577165807,0.30913218413197685,0.47863247863247865,0.7142857142857143,0.3373493975903614,0.02759043531575711
